"studentID","firstName","lastName","email","section","courses","regularity"
"88-62374","Mia","Foster","mia.foster@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"52-27015","Karl","Duncan","karl.duncan@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"47-24050","Kathy","Herrera","kathy.herrera@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"22-24322","Jean","Snyder","jean.snyder@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"38-67374","Sherri","Sanders","sherri.sanders@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"66-78600","Lewis","Beck","lewis.beck@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"26-85124","Gavin","Warren","gavin.warren@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"50-38421","Wanda","Lucas","wanda.lucas@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"08-23302","Dennis","Stephens","dennis.stephens@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"06-02243","John","Gomez","john.gomez@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"50-68065","Katrina","Campbell","katrina.campbell@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"10-62172","Tracey","Ramos","tracey.ramos@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"84-52643","Jeffery","Patterson","jeffery.patterson@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"82-23725","Peggy","Rodriquez","peggy.rodriquez@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"13-23553","Bryan","Sanders","bryan.sanders@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"05-52835","Jimmy","Thomas","jimmy.thomas@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"44-42734","Kyle","Steeves ","kyle.steeves@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"78-33530","Sharlene","Freeman","sharlene.freeman@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"74-67505","Andrea","Matthews","andrea.matthews@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"70-07741","Paula","Martin","paula.martin@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"50-25281","Glen","Perkins","glen.perkins@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"24-12731","Hugh","Mills","hugh.mills@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"70-43773","Reginald","Silva","reginald.silva@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"61-24236","Corey","Ryan","corey.ryan@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"13-53238","Isabella","Smith","isabella.smith@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"55-77162","Brittany","Hoffman","brittany.hoffman@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"45-51734","Herbert","Douglas","herbert.douglas@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"36-75836","Caroline","May","caroline.may@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"42-48758","Jackie","Martinez","jackie.martinez@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"47-01226","Anne","Campbell","anne.campbell@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"36-61636","Daryl","Garrett","daryl.garrett@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"55-81808","Seth","Dean","seth.dean@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"50-27648","Jerome","Lowe","jerome.lowe@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"16-16138","Sophie","Patterson","sophie.patterson@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"80-68808","Eli","Prescott","eli.prescott@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"21-18010","Aaron","Spencer","aaron.spencer@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"75-77661","Beverly","Hanson","beverly.hanson@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"37-17300","Brandie","Watts","brandie.watts@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"80-07240","Carla","Lawrence","carla.lawrence@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"27-38762","Willie","Flores","willie.flores@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"08-35200","Brian","Hill","brian.hill@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"33-63340","Aaron","Griffin","aaron.griffin@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"71-33482","Jacqueline","Williams","jacqueline.williams@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"73-20512","Hailey","Medina","hailey.medina@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"46-35838","Lance","Taylor","lance.taylor@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"42-31383","Marsha","Steward","marsha.steward@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"82-68406","Mike","Fernandez","mike.fernandez@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"56-41674","Ella","Alvarez","ella.alvarez@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"74-82057","Alex","Morgan","alex.morgan@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"37-38051","Karl","Lopez","karl.lopez@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"35-57577","Joan","Little","joan.little@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"00-27782","Sandra","Moreno","sandra.moreno@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"77-47841","Eric","Caldwell","eric.caldwell@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"70-40266","Amy","Cole","amy.cole@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"32-00043","Noah","Chapman","noah.chapman@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"30-15307","Tracy","Perkins","tracy.perkins@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"24-64311","Cindy","Elliott","cindy.elliott@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"63-51674","Dwight","Frazier","dwight.frazier@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"08-56054","Milton","Stanley","milton.stanley@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"78-06323","Chad","Wagner","chad.wagner@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"67-46613","Lorraine","Gonzalez","lorraine.gonzalez@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"31-60518","Melanie","Lane","melanie.lane@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"74-55837","Melinda","Perez","melinda.perez@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"25-30436","Milton","Brown","milton.brown@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"55-47581","Kristina","Elliott","kristina.elliott@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"75-51222","Lynn","Griffin","lynn.griffin@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"53-44705","Billy","Bell","billy.bell@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"08-03653","Abigail","Holt","abigail.holt@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"41-67384","Jamie","Carlson","jamie.carlson@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"34-31686","Terrence","Garrett","terrence.garrett@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"13-06740","Rick","Olson","rick.olson@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"20-30330","Melissa","Nelson","melissa.nelson@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"54-44748","Beverly","Chapman","beverly.chapman@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"08-88757","Rita","Hall","rita.hall@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"52-15377","Joe","Walker","joe.walker@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"20-84403","Monica","Kuhn","monica.kuhn@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"05-61730","Ricardo","Jenkins","ricardo.jenkins@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"15-01754","Darryl","Murphy","darryl.murphy@example.com","1b","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"64-67004","Jessie","Barnett","jessie.barnett@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"64-51721","Alan","Watts","alan.watts@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"80-22561","Terri","Bowman","terri.bowman@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"13-11653","Linda","Garza","linda.garza@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"42-51603","Vanessa","Stone","vanessa.stone@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"54-77327","Harry","Ward","harry.ward@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"46-68601","Ronnie","Fowler","ronnie.fowler@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"80-22528","Anne","Richards","anne.richards@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"22-37152","Randall","Mitchell","randall.mitchell@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"47-83747","Harry","Vasquez","harry.vasquez@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"01-52753","Stacy","Carroll","stacy.carroll@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"30-05847","Tomothy","Ward","tomothy.ward@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"01-46724","Nathan","Brooks","nathan.brooks@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"57-34260","Maurice","Washington","maurice.washington@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"40-72783","Melissa","Austin","melissa.austin@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"70-14057","Herbert","Jones","herbert.jones@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"01-58744","Brianna","Mcdonalid","brianna.mcdonalid@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"71-05581","Fernando","Soto","fernando.soto@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"41-14577","Dwayne","Shaw","dwayne.shaw@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"00-81217","Antonio","Gilbert","antonio.gilbert@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"31-18265","Dustin","Wagner","dustin.wagner@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"16-47402","Alexa","Ellis","alexa.ellis@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"80-52527","Scarlett","Watson","scarlett.watson@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"78-47008","Stanley","Ward","stanley.ward@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"81-50030","Kristina","Rivera","kristina.rivera@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"84-44300","Brandy","Bell","brandy.bell@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"15-36808","Bryan","Morales","bryan.morales@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"42-78380","Heidi","Cooper","heidi.cooper@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"21-00646","Tracy","Gibson","tracy.gibson@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"27-66781","Lynn","Elliott","lynn.elliott@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"86-64253","Gavin","Peters","gavin.peters@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"40-55647","Samuel","Peters","samuel.peters@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"12-08086","Lucille","Stephens","lucille.stephens@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"08-18746","Gilbert","Stevens","gilbert.stevens@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"47-66471","Josephine","Lane","josephine.lane@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"46-33343","Madison","Campbell","madison.campbell@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"24-35232","Ella","Sutton","ella.sutton@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"52-42628","Vincent","Jacobs","vincent.jacobs@example.com","1c","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
